epochMillis,id,version,changeset,username,uid,geometry
1740739208000,1363485371,1,163035353,Randolp Agaton,22567138,"POLYGON((110.5840508 -7.0688881, 110.5841036 -7.0689067, 110.5840768 -7.0689817, 110.584024 -7.0689631, 110.5840508 -7.0688881))"
1740739236000,1363485372,1,163035359,Baloo Uriza,92286,"LINESTRING(-98.9759663 35.4284983, -98.9759633 35.4290515)"
1740739236000,1363485373,1,163035359,Baloo Uriza,92286,"LINESTRING(-98.975993 35.421791, -98.975987 35.424607, -98.9759663 35.4284983)"
1740739236000,1363485374,1,163035359,Baloo Uriza,92286,"LINESTRING(-98.9759957 35.4212527, -98.975993 35.421791)"
1740739236000,1363485375,1,163035359,Baloo Uriza,92286,"LINESTRING(-98.9760326 35.4139257, -98.9760296 35.4144739)"
1740739236000,1363485376,1,163035359,Baloo Uriza,92286,"LINESTRING(-98.9760654 35.406703, -98.9760681 35.4072313)"
1740739238000,1363485377,1,163035360,Robert Ancell,1430787,"LINESTRING(167.6554167 -45.8328975, 167.654703 -45.8335492, 167.6542883 -45.8342459, 167.6538246 -45.8347124, 167.6532236 -45.8353026)"
1740739238000,1363485378,1,163035360,Robert Ancell,1430787,"LINESTRING(167.6561584 -45.8577628, 167.6561976 -45.856507, 167.6562261 -45.8556786, 167.6562795 -45.8548349)"
1740739238000,1363485379,1,163035360,Robert Ancell,1430787,"LINESTRING(167.6562795 -45.8548349, 167.6562771 -45.8541627)"
1740739243000,1363485380,1,163035361,ugarten,22501496,"POLYGON((-71.8338104 41.3948031, -71.8338094 41.3948102, -71.8338053 41.3948166, -71.8337985 41.3948216, -71.8337899 41.3948247, -71.8337804 41.3948253, -71.8337711 41.3948235, -71.8337638 41.3948199, -71.8337584 41.3948148, -71.8337553 41.3948086, -71.833755 41.394802, -71.8337574 41.3947957, -71.8337623 41.3947903, -71.8337692 41.3947862, -71.8337774 41.394784, -71.8337862 41.3947838, -71.8337953 41.3947859, -71.8338029 41.3947902, -71.8338081 41.3947961, -71.8338104 41.3948031))"
