epochMillis,id,version,changeset,username,uid,geometry
1184836933000,4914609,1,154311,jcomeau_ictx,8130,"LINESTRING(-107.6464754 31.843014800000002, -107.64647500000001 31.843207800000002, -107.6464741 31.843714300000002, -107.64647280000001 31.844340700000004, -107.64647230000001 31.8446676)"
1709011398000,4914617,2,147957505,Allison P,9097970,"LINESTRING(-107.65056670000001 31.8443341, -107.64930980000001 31.844336100000003, -107.6491728 31.844336300000002, -107.6478754 31.8443384, -107.64647280000001 31.844340700000004)"
1709011398000,4914618,2,147957505,Allison P,9097970,"LINESTRING(-107.6491594 31.843765100000002, -107.64786550000001 31.8437407, -107.6464741 31.843714300000002)"
1533539318000,4914627,2,61392788,marthaleena,5659851,"LINESTRING(-107.6493252 31.8460849, -107.6492705 31.845761500000002, -107.64928180000001 31.845438, -107.64929260000001 31.8450816, -107.64930980000001 31.844336100000003)"
1533539318000,4914640,3,61392788,marthaleena,5659851,"LINESTRING(-107.6553274 31.8459055, -107.6551987 31.8459055, -107.65489830000001 31.8458326, -107.65458070000001 31.845737800000002, -107.65427170000001 31.845708600000002, -107.6540142 31.845613800000002, -107.6537567 31.845577400000003, -107.65355070000001 31.845592000000003, -107.65329320000001 31.845519000000003, -107.6530958 31.845417, -107.65294990000001 31.8454316, -107.65272680000001 31.845322200000002, -107.6524521 31.845322200000002, -107.6516852 31.845290400000003, -107.65137630000001 31.845290400000003, -107.65119600000001 31.845283100000003, -107.65101580000001 31.8452686, -107.6506896 31.8452102, -107.6501575 31.8451446, -107.64969400000001 31.845079000000002, -107.64934210000001 31.845079000000002, -107.64929260000001 31.8450816, -107.64861470000001 31.845117700000003, -107.6470001 31.845115800000002, -107.64617190000001 31.8450823, -107.64593970000001 31.8450433, -107.6455607 31.8449093, -107.6453402 31.8448673)"
1709011398000,4914654,3,147957505,Allison P,9097970,"LINESTRING(-107.6504211 31.845432100000004, -107.64928180000001 31.845438, -107.6483046 31.8454276)"
1709011398000,4915754,2,147957505,Allison P,9097970,"LINESTRING(-107.64785300000001 31.843002100000003, -107.6478563 31.8431928, -107.64786550000001 31.8437407, -107.6478754 31.8443384)"
1184837273000,4915755,1,154311,jcomeau_ictx,8130,"LINESTRING(-107.6491419 31.843273300000003, -107.6491503 31.843326200000003, -107.6491594 31.843765100000002, -107.6491728 31.844336300000002)"
1709011398000,4915756,2,147957505,Allison P,9097970,"LINESTRING(-107.64647500000001 31.843207800000002, -107.6478563 31.8431928, -107.6489851 31.843180500000003, -107.6491419 31.843273300000003)"
